,Unnamed: 0,model_id,label,train length,dev length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate kl mean,random ablate kl std,all random ablate kls,random ablate mlm kl mean,random ablate mlm kl std,all random ablate mlm kls
42,6,89cce977-05b4-4e65-b3f6-c8df9dc7e08d,dep,16521,1522,15977,16,0.001,0,0,7,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.642018587358536,2.8244394858678183,0.644670367367305,0.1163225846691199,0.5255680040057583,0.1169806596983163,410265.0,2359296,0.0395156150414276,0.0184831102613129,5.222503136950287,-1,-1,-1,1.421427797860899,0.0,[1.4214277978608987],-1.0,-1,[-1]
43,7,9df6dcff-60bc-460c-abd8-5107a3143d78,dep,16521,1522,15977,16,0.001,0,1,7,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.653148370404397,2.8420864741007485,0.5048961516871453,0.1163225846691199,0.4550291043374851,0.1169806596983163,391443.0,2359296,0.0401529636711281,0.017208413001912,5.51229821442798,-1,-1,-1,1.4394375647307205,0.0,[1.4394375647307203],-1.0,-1,[-1]
44,8,32114079-114e-414f-bb69-d5ba084bb97d,dep,16521,1522,15977,16,0.001,0,2,7,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.6283925156439505,2.812281529108683,0.644670367367305,0.1163225846691199,0.5074169118107279,0.1169806596983163,417372.0,2359296,0.0433397068196303,0.017208413001912,4.916721438814531,-1,-1,-1,1.506414565407903,0.0,[1.506414565407903],-1.0,-1,[-1]
45,9,e73e8795-c821-4a41-a0c4-ec9179a2031d,dep,16521,1522,15977,16,0.001,0,0,7,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6737011286520187,2.75499427318573,0.673743851565905,0.1164933690305709,0.6287162796519997,0.1169806596983163,527651.0,4718592,0.1147227533460803,0.0681963033779477,0.8315791463760756,-1,-1,-1,0.1878893179373805,0.0,[0.1878893179373805],-1.0,-1,[-1]
46,10,24e88eef-5b11-41af-bc6a-cfe57b185f5e,dep,16521,1522,15977,16,0.001,0,1,7,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6739134557785524,2.7572595675786338,0.6687005790424009,0.1164933690305709,0.6272767102710146,0.1169806596983163,527371.0,4718592,0.1230082855321861,0.0834926704907584,0.842451106521869,-1,-1,-1,0.1656696035118905,0.0,[0.16566960351189053],-1.0,-1,[-1]
47,11,3f6dc699-af3c-4e65-b6c3-d5b10e0aa2a2,dep,16521,1522,15977,16,0.001,0,2,7,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6754124702945834,2.756571610768636,0.6687628416661479,0.1164933690305709,0.6299054891406397,0.1169806596983163,521096.0,4718592,0.1096239643084767,0.0720203951561504,0.7533404008076402,-1,-1,-1,0.158852493937719,0.0,[0.15885249393771908],-1.0,-1,[-1]
48,12,8499c52c-5975-4db0-9dbb-4f23da41af9f,dep,16521,1522,15977,16,0.001,0,0,8,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.6695056269245763,2.867986798286438,0.6747333624399676,0.1163225846691199,0.50823058146085,0.1169806596983163,489417.0,2359296,0.0356915232632249,0.011472275334608,4.549815890893881,-1,-1,-1,2.096297216081102,0.0,[2.0962972160811026],-1.0,-1,[-1]
49,13,5dfee76f-1f09-4541-b5e6-c0af1b097dd1,dep,16521,1522,15977,16,0.001,0,1,8,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.631860513840952,2.828116178512573,0.7500155928397679,0.1163225846691199,0.551229892971146,0.1169806596983163,508402.0,2359296,0.0159337157425111,0.0050987890376035,4.77087876931963,-1,-1,-1,2.551126999183397,0.0,[2.551126999183397],-1.0,-1,[-1]
50,14,fe5f9dde-62f8-474b-86f8-3a4437154e4b,dep,16521,1522,15977,16,0.001,0,2,8,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.642106767623656,2.8230337699254355,0.7235077652342045,0.1163225846691199,0.5556111910871878,0.1169806596983163,486266.0,2359296,0.0127469725940089,0.011472275334608,4.071597778242511,-1,-1,-1,2.105560244383365,0.0,[2.105560244383365],-1.0,-1,[-1]
51,15,8a743252-aad8-44a6-9255-4eb031f92773,dep,16521,1522,15977,16,0.001,0,0,8,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.677060392595106,2.758044719696045,0.6681402154286782,0.1164933690305709,0.6290918194905176,0.1169806596983163,517802.0,4718592,0.0771191841937539,0.0503505417463352,0.7978231650085643,-1,-1,-1,0.1883472177616117,0.0,[0.1883472177616117],-1.0,-1,[-1]
52,16,a4164927-25b8-4f48-bb82-c8a66a89c581,dep,16521,1522,15977,16,0.001,0,1,8,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6772549344647314,2.75924543539683,0.6657742357262935,0.1164933690305709,0.6262752707016336,0.1169806596983163,521070.0,4718592,0.0841300191204589,0.0369662205226258,0.9927321094247928,-1,-1,-1,0.1897457942148163,0.0,[0.18974579421481635],-1.0,-1,[-1]
53,17,757cab8f-16af-4dcf-89b0-81c8a1727baf,dep,16521,1522,15977,16,0.001,0,2,8,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6774540216692038,2.758817354838053,0.6677043770624495,0.1164933690305709,0.6297177192213808,0.1169806596983163,513780.0,4718592,0.0975143403441682,0.0573613766730401,0.8782392590573216,-1,-1,-1,0.168636343903113,0.0,[0.16863634390311305],-1.0,-1,[-1]
54,18,8b0234b6-0b91-4507-a2c7-38c259c3ffd4,dep,16521,1522,15977,16,0.001,0,0,9,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.692508659055156,2.8027588923772178,0.5529220981725191,0.1163225846691199,0.5093572009764036,0.1169806596983163,591841.0,2359296,0.0274059910771191,0.0025493945188017,9.01235485380816,-1,-1,-1,2.95850387388464,0.0,[2.95850387388464],-1.0,-1,[-1]
55,19,6cc60075-d4bb-4f14-be00-a9c049f97449,dep,16521,1522,15977,16,0.001,0,1,9,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.673584649639745,2.8162590662638345,0.6479136780390444,0.1163225846691199,0.5479126243975715,0.1169806596983163,591122.0,2359296,0.0178457616316124,0.0044614404079031,6.4665354624761,-1,-1,-1,2.907503846498566,0.0,[2.907503846498566],-1.0,-1,[-1]
56,20,7a9e2b29-d32b-44b4-a59d-ecc94660e801,dep,16521,1522,15977,16,0.001,0,2,9,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.667544049601401,2.802368481953939,0.6540884425871639,0.1163225846691199,0.551229892971146,0.1169806596983163,577162.0,2359296,0.0159337157425111,0.0038240917782026,8.570095901051625,-1,-1,-1,3.673485176665073,0.0,[3.673485176665073],-1.0,-1,[-1]
57,21,88583af5-221c-442e-a255-80b7da96d16e,dep,16521,1522,15977,16,0.001,0,0,9,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.669368547777976,2.7642237345377603,0.6814021542867816,0.1164933690305709,0.6274018902171872,0.1169806596983163,520758.0,4718592,0.1064372211599745,0.0452517527087316,1.2484953219606436,-1,-1,-1,0.1671045326442001,0.0,[0.16710453264420014],-1.0,-1,[-1]
